Geneid	Chr	Start	End	Strand	Length	align/bam/SRR20959676	align/bam/SRR20959677	align/bam/SRR20959678	align/bam/SRR20959679	align/bam/SRR20959680	align/bam/SRR20959681	align/bam/SRR20959682	align/bam/SRR20959683
SAUSA300_RS00130	NC_007793.1	31026	33344	+	2319	106	6	34	24	25	14	31	36
SAUSA300_RS00135	NC_007793.1	33712	34191	+	480	2	0	10	6	4	74	21	12
SAUSA300_RS00140	NC_007793.1	34513	35769	+	1257	0	6	0	0	0	0	0	0
SAUSA300_RS00145	NC_007793.1	35877	36551	-	675	0	0	0	0	0	0	0	0
SAUSA300_RS14955	NC_007793.1	36587	36976	+	390	0	0	0	0	0	0	0	0
SAUSA300_RS00155	NC_007793.1	37813	38556	+	744	0	6	0	0	0	0	0	0
SAUSA300_RS00160	NC_007793.1	38653	39081	+	429	0	0	0	0	0	0	0	0
SAUSA300_RS00165	NC_007793.1	39127	41136	-	2010	0	386	0	0	0	0	0	0
SAUSA300_RS00170	NC_007793.1	41233	42219	+	987	0	140	0	0	0	0	0	0
SAUSA300_RS00185	NC_007793.1	44101	44607	-	507	0	7	0	0	0	0	0	0
SAUSA300_RS00190	NC_007793.1	44622	44933	-	312	0	0	0	0	0	0	0	0
SAUSA300_RS00195	NC_007793.1	45020	45370	-	351	0	16	0	0	0	0	0	0
SAUSA300_RS00200	NC_007793.1	45892	47520	-	1629	0	48	0	0	0	0	0	0
SAUSA300_RS00205	NC_007793.1	47542	48891	-	1350	0	54	0	0	0	0	0	0
SAUSA300_RS00210	NC_007793.1	49125	50912	-	1788	4	27	0	0	0	0	0	0
SAUSA300_RS00215	NC_007793.1	50912	51202	-	291	0	0	0	0	0	0	0	0
SAUSA300_RS00220	NC_007793.1	51341	52390	+	1050	0	0	0	0	0	0	0	0
SAUSA300_RS00225	NC_007793.1	53118	54608	+	1491	0	0	0	0	0	0	0	0
SAUSA300_RS15865	NC_007793.1	56355	56492	+	138	0	0	0	0	0	0	0	0
SAUSA300_RS00240	NC_007793.1	56489	56860	+	372	0	0	0	0	0	0	0	0
SAUSA300_RS00245	NC_007793.1	56989	57609	+	621	0	0	0	0	0	0	0	0
SAUSA300_RS15870	NC_007793.1	58526	58696	-	171	0	0	0	0	0	0	0	0
SAUSA300_RS00250	NC_007793.1	59098	60063	+	966	0	0	0	0	0	0	0	0
SAUSA300_RS00255	NC_007793.1	60160	60351	+	192	0	0	0	0	0	0	0	0
SAUSA300_RS00260	NC_007793.1	60443	60772	+	330	0	0	0	0	0	0	0	0
SAUSA300_RS00265	NC_007793.1	60849	61208	-	360	0	0	0	0	0	0	0	0
SAUSA300_RS00275	NC_007793.1	63100	63597	-	498	0	0	0	0	0	0	0	0
SAUSA300_RS16055	NC_007793.1	63785	63913	-	129	0	0	0	0	0	0	0	0
SAUSA300_RS00280	NC_007793.1	64095	65222	+	1128	0	0	0	0	1	0	0	0
SAUSA300_RS00285	NC_007793.1	65477	65701	-	225	0	0	0	0	1	0	0	0
SAUSA300_RS00290	NC_007793.1	65715	66218	-	504	0	0	0	0	0	0	0	0
SAUSA300_RS00295	NC_007793.1	66234	66545	-	312	0	0	0	0	0	0	0	0
SAUSA300_RS00300	NC_007793.1	66632	66982	-	351	0	0	0	0	0	0	0	0
SAUSA300_RS00310	NC_007793.1	68890	69819	-	930	0	0	0	0	0	0	0	0
SAUSA300_RS00315	NC_007793.1	69839	70837	-	999	0	0	0	0	0	0	0	0
SAUSA300_RS00320	NC_007793.1	70875	71564	-	690	0	0	0	0	0	0	0	0
SAUSA300_RS00325	NC_007793.1	71606	73027	-	1422	0	0	0	0	0	0	1	0
SAUSA300_RS00330	NC_007793.1	73113	74348	-	1236	0	0	0	0	0	0	0	0
SAUSA300_RS00335	NC_007793.1	74617	75063	-	447	0	0	0	0	0	0	0	0
SAUSA300_RS00340	NC_007793.1	75565	75996	+	432	0	0	0	0	0	0	0	0
SAUSA300_RS14985	NC_007793.1	76269	76942	+	674	1	0	6	0	0	0	0	0
SAUSA300_RS00355	NC_007793.1	77130	77945	+	816	0	0	0	0	0	0	0	0
SAUSA300_RS00360	NC_007793.1	78246	79445	+	1200	0	0	16	0	0	1	0	0
SAUSA300_RS00365	NC_007793.1	79705	80397	+	693	0	0	0	0	0	0	0	0
SAUSA300_RS00370	NC_007793.1	80394	81947	+	1554	0	0	0	0	0	0	0	0
SAUSA300_RS00375	NC_007793.1	81950	82906	+	957	0	0	0	0	0	0	0	0
SAUSA300_RS00380	NC_007793.1	82906	83673	+	768	0	0	0	0	0	0	0	0
SAUSA300_RS00385	NC_007793.1	83640	84407	+	768	0	0	0	0	0	0	0	0
SAUSA300_RS00390	NC_007793.1	84400	85035	+	636	0	0	0	0	0	0	0	0
SAUSA300_RS00395	NC_007793.1	86055	88118	+	2064	0	0	0	0	0	0	0	0
SAUSA300_RS00400	NC_007793.1	88136	88681	+	546	0	0	0	0	0	0	0	0
SAUSA300_RS00405	NC_007793.1	89109	89243	-	135	0	0	0	0	0	0	0	0
SAUSA300_RS00410	NC_007793.1	89207	89299	+	93	0	0	0	0	0	0	0	0
SAUSA300_RS00415	NC_007793.1	89446	91197	+	1752	0	6	10	6	14	0	0	0
SAUSA300_RS00425	NC_007793.1	91759	91860	-	102	2	6	0	0	1	0	7	10
SAUSA300_RS00430	NC_007793.1	91958	92713	-	756	8	20	0	3	31	0	21	23
SAUSA300_RS00435	NC_007793.1	92713	92973	-	261	3	2	0	0	7	0	0	0
SAUSA300_RS00440	NC_007793.1	93110	94177	+	1068	37	28	0	10	59	0	18	26
SAUSA300_RS00445	NC_007793.1	94208	95542	+	1335	311	270	0	92	724	0	106	144
SAUSA300_RS00460	NC_007793.1	97421	98407	-	987	31	34	20	32	54	16	37	20
SAUSA300_RS00465	NC_007793.1	98716	98919	+	204	4	2	0	0	0	0	0	11
SAUSA300_RS00470	NC_007793.1	98968	99264	+	297	2	0	0	3	1	4	0	0
SAUSA300_RS00475	NC_007793.1	99336	100556	-	1221	0	0	0	0	0	0	8	0
SAUSA300_RS00485	NC_007793.1	101212	102072	+	861	0	0	12	0	0	0	0	0
SAUSA300_RS00490	NC_007793.1	102427	102960	-	534	0	0	0	0	0	0	0	0
SAUSA300_RS00495	NC_007793.1	103051	103794	+	744	0	0	0	0	0	0	0	0
SAUSA300_RS00500	NC_007793.1	104228	104830	+	603	2	24	25	16	34	10	0	0
SAUSA300_RS00505	NC_007793.1	105097	108249	+	3153	0	4	4	4	12	0	0	0
SAUSA300_RS00510	NC_007793.1	108306	108788	+	483	0	0	0	0	0	0	0	0
SAUSA300_RS00515	NC_007793.1	108993	109979	+	987	2	0	0	0	0	0	0	0
SAUSA300_RS00520	NC_007793.1	110200	110970	+	771	0	0	0	0	0	0	0	0
SAUSA300_RS00525	NC_007793.1	111022	111792	+	771	0	0	0	0	0	0	0	4
SAUSA300_RS00530	NC_007793.1	111856	112626	+	771	0	0	0	0	0	0	0	0
SAUSA300_RS00535	NC_007793.1	112690	113460	+	771	6	4	0	8	1	0	4	0
SAUSA300_RS00540	NC_007793.1	113554	115791	+	2238	107	54	35	82	93	103	212	39
SAUSA300_RS00545	NC_007793.1	115942	117120	+	1179	131	2	12	100	114	40	38	20
SAUSA300_RS00550	NC_007793.1	117122	118510	+	1389	296	37	50	338	226	131	56	38
SAUSA300_RS00555	NC_007793.1	119003	120664	-	1662	478	74	276	286	286	296	1949	206
SAUSA300_RS00560	NC_007793.1	120990	122765	-	1776	694	38	240	550	188	64	113	58
SAUSA300_RS00565	NC_007793.1	122939	123811	-	873	0	0	2	0	0	0	0	0
SAUSA300_RS00570	NC_007793.1	123924	125321	+	1398	0	0	0	0	2	0	0	0
SAUSA300_RS00575	NC_007793.1	125511	125984	+	474	0	0	21	6	26	12	0	0
SAUSA300_RS00580	NC_007793.1	126246	127838	+	1593	110	18	50	94	66	36	340	40
SAUSA300_RS00585	NC_007793.1	128167	129693	-	1527	170	30	300	4	46	54	696	94
SAUSA300_RS00590	NC_007793.1	130114	130866	-	753	24	4	112	8	12	6	18	8
SAUSA300_RS00595	NC_007793.1	131235	132233	-	999	38	6	4	13	8	4	38	12
SAUSA300_RS00600	NC_007793.1	132230	133225	-	996	8	4	2	23	6	8	42	6
SAUSA300_RS00605	NC_007793.1	133241	134233	-	993	2	0	8	0	10	6	6	0
SAUSA300_RS00610	NC_007793.1	134464	135444	+	981	0	0	0	0	0	0	3	0
SAUSA300_RS00615	NC_007793.1	135441	136451	+	1011	4	0	0	0	2	2	4	2
SAUSA300_RS00620	NC_007793.1	136472	138226	+	1755	12	0	4	6	6	12	40	6
SAUSA300_RS00625	NC_007793.1	138219	139475	+	1257	18	0	36	8	8	0	33	4
SAUSA300_RS00630	NC_007793.1	139465	141201	+	1737	0	0	18	22	0	8	61	0
SAUSA300_RS00635	NC_007793.1	141110	142960	+	1851	13	4	34	12	14	10	46	11
SAUSA300_RS00640	NC_007793.1	142935	143711	+	777	36	2	0	6	42	28	10	8
SAUSA300_RS00645	NC_007793.1	143711	144913	+	1203	36	10	16	14	18	12	20	3
SAUSA300_RS00650	NC_007793.1	144917	145681	+	765	4	0	6	0	0	0	8	2
SAUSA300_RS00660	NC_007793.1	145877	146284	+	408	6	0	0	0	0	0	0	0
SAUSA300_RS00665	NC_007793.1	146334	146960	+	627	2	0	0	0	0	0	0	0
SAUSA300_RS00670	NC_007793.1	147172	147948	+	777	17600	1518	6419	22035	12996	4401	7468	2925
SAUSA300_RS00675	NC_007793.1	148092	148214	+	123	0	0	0	0	0	0	0	1
SAUSA300_RS00680	NC_007793.1	148284	149264	+	981	0	0	2	0	0	2	0	0
SAUSA300_RS00685	NC_007793.1	149227	149919	+	693	0	0	8	0	3	0	0	0
SAUSA300_RS00690	NC_007793.1	150129	151295	+	1167	4	0	0	2	5	4	0	0
SAUSA300_RS00695	NC_007793.1	151276	152514	+	1239	0	0	0	0	0	0	4	0
SAUSA300_RS00700	NC_007793.1	152504	153934	+	1431	10	22	16	12	27	36	41	6
SAUSA300_RS00705	NC_007793.1	154202	154801	+	600	6	0	2	0	9	6	15	1
SAUSA300_RS15960	NC_007793.1	155757	155894	+	138	224	2	15	9	10	2	2	18
SAUSA300_RS00715	NC_007793.1	156086	156841	-	756	134	40	102	30	56	32	131	30
SAUSA300_RS00725	NC_007793.1	157077	157784	+	708	21	11	20	10	0	4	53	4
SAUSA300_RS00730	NC_007793.1	157791	159143	+	1353	39	4	110	66	30	14	97	6
SAUSA300_RS00735	NC_007793.1	159224	159886	+	663	116	12	153	186	67	44	399	20
SAUSA300_RS00740	NC_007793.1	159914	161092	+	1179	662	230	432	685	679	242	2464	130
SAUSA300_RS00745	NC_007793.1	161223	162038	-	816	34	4	0	2	10	4	87	8
SAUSA300_RS00750	NC_007793.1	162035	162835	-	801	17	4	18	9	22	6	116	1
SAUSA300_RS00755	NC_007793.1	162837	163610	-	774	14	0	0	0	14	2	34	0
SAUSA300_RS00760	NC_007793.1	163824	164780	-	957	6	0	8	4	0	2	44	0
SAUSA300_RS00765	NC_007793.1	165009	166553	+	1545	18	16	2	4	28	6	74	12
SAUSA300_RS00770	NC_007793.1	166604	168139	+	1536	14	22	12	38	71	26	127	14
SAUSA300_RS00790	NC_007793.1	169643	169969	+	327	0	0	0	0	1	43	15	0
SAUSA300_RS00800	NC_007793.1	171207	173816	+	2610	62	6	77	40	32	18	460	10
SAUSA300_RS00805	NC_007793.1	174161	174829	+	669	43	2	1	20	12	0	34	1
SAUSA300_RS00810	NC_007793.1	174845	175531	+	687	420	98	192	678	421	19	446	58
SAUSA300_RS00815	NC_007793.1	175534	176298	+	765	8	31	0	37	16	4	39	0
SAUSA300_RS00825	NC_007793.1	178132	179160	+	1029	120	20	15	63	88	4	246	12
SAUSA300_RS00830	NC_007793.1	179173	180282	+	1110	216	24	180	142	116	4	170	6
SAUSA300_RS00835	NC_007793.1	180286	181410	+	1125	165	73	101	166	106	0	93	10
SAUSA300_RS00840	NC_007793.1	181413	182039	+	627	0	44	10	52	63	0	0	2
SAUSA300_RS00845	NC_007793.1	182044	183153	+	1110	0	74	101	32	68	2	0	0
SAUSA300_RS00850	NC_007793.1	183167	184333	+	1167	0	24	111	42	89	0	0	0
SAUSA300_RS00855	NC_007793.1	184326	185531	+	1206	0	23	116	8	19	0	0	0
SAUSA300_RS00860	NC_007793.1	185532	186737	+	1206	534	59	139	333	383	8	96	46
SAUSA300_RS00865	NC_007793.1	186748	187305	+	558	28	21	26	12	26	2	18	8
SAUSA300_RS00870	NC_007793.1	187305	188192	+	888	1071	227	283	718	740	26	518	50
SAUSA300_RS00875	NC_007793.1	188246	189508	+	1263	759	286	227	444	451	16	550	26
SAUSA300_RS00880	NC_007793.1	189585	190730	+	1146	240	46	35	134	174	6	97	8
SAUSA300_RS00885	NC_007793.1	190795	191121	-	327	0	0	0	2	1	0	3	0
SAUSA300_RS00890	NC_007793.1	191128	191511	-	384	11	1	1	2	1	1	0	0
SAUSA300_RS00895	NC_007793.1	191938	193425	+	1488	16487	1352	5045	7574	9959	11222	23891	4989
SAUSA300_RS00900	NC_007793.1	194071	195030	+	960	371	106	67	161	227	91	188	40
SAUSA300_RS00905	NC_007793.1	195092	195295	-	204	138	88	3	271	311	180	49	76
SAUSA300_RS00910	NC_007793.1	195474	195986	+	513	4	3	0	9	5	3	8	0
SAUSA300_RS00915	NC_007793.1	196328	197068	+	741	32	2	4	2	10	3	4	4
SAUSA300_RS00920	NC_007793.1	197082	198056	+	975	32	12	0	2	6	6	12	2
SAUSA300_RS00925	NC_007793.1	198053	198814	+	762	0	8	0	2	6	2	14	0
SAUSA300_RS00930	NC_007793.1	198827	199858	+	1032	36	0	9	10	12	4	6	2
SAUSA300_RS00935	NC_007793.1	200075	200434	+	360	136	25	20	168	134	42	0	62
SAUSA300_RS00940	NC_007793.1	200607	201632	+	1026	56	8	34	24	40	8	0	14
SAUSA300_RS00945	NC_007793.1	202018	203268	+	1251	32	10	26	4	2	4	60	0
SAUSA300_RS00950	NC_007793.1	203715	210890	+	7176	911	246	694	1113	944	869	4008	258
SAUSA300_RS00955	NC_007793.1	210903	211547	+	645	56	0	20	46	52	20	548	0
SAUSA300_RS00960	NC_007793.1	211875	212354	-	480	1257	34	8	282	419	172	263	62
SAUSA300_RS00965	NC_007793.1	212624	213388	-	765	144	1	6	16	16	2	42	4
SAUSA300_RS00970	NC_007793.1	213404	214645	-	1242	4	5	7	24	6	10	16	2
SAUSA300_RS00975	NC_007793.1	214657	215688	-	1032	6	4	0	2	2	2	20	0
SAUSA300_RS00980	NC_007793.1	215727	216911	-	1185	46	6	36	4	10	14	18	0
SAUSA300_RS00985	NC_007793.1	217164	218519	-	1356	12	2	18	10	0	16	114	6
SAUSA300_RS00990	NC_007793.1	218795	219352	-	558	54	10	114	57	86	31	305	32
SAUSA300_RS00995	NC_007793.1	219419	221059	-	1641	1065	80	787	543	745	618	6178	367
SAUSA300_RS01000	NC_007793.1	221253	221354	+	102	0	0	0	0	0	0	0	0
SAUSA300_RS01005	NC_007793.1	221333	223378	-	2046	100	28	62	86	30	42	177	22
SAUSA300_RS01010	NC_007793.1	223964	225019	+	1056	48	80	86	216	136	72	398	54
SAUSA300_RS01015	NC_007793.1	225019	225915	+	897	28	26	36	74	54	32	321	19
SAUSA300_RS01020	NC_007793.1	225927	227381	+	1455	18	72	183	52	114	18	325	20
SAUSA300_RS01025	NC_007793.1	227384	228259	+	876	136	137	355	118	226	135	1552	138
SAUSA300_RS01030	NC_007793.1	228453	228734	-	282	6	0	0	0	1	0	0	0
SAUSA300_RS01035	NC_007793.1	228947	231736	+	2790	16	12	26	0	7	10	18	10
SAUSA300_RS01040	NC_007793.1	231941	232783	+	843	12	0	54	0	0	2	18	4
SAUSA300_RS01045	NC_007793.1	232785	233708	+	924	0	0	0	0	0	19	8	0
SAUSA300_RS01050	NC_007793.1	233695	234807	+	1113	0	0	0	0	0	9	5	0
SAUSA300_RS01055	NC_007793.1	235072	236664	-	1593	97	10	18	70	103	43	159	29
SAUSA300_RS01060	NC_007793.1	236621	238099	+	1479	26	2	6	18	28	6	22	12
SAUSA300_RS01065	NC_007793.1	238105	239268	+	1164	0	6	0	10	0	0	0	0
SAUSA300_RS01070	NC_007793.1	239285	241060	+	1776	0	0	8	0	2	0	13	0
SAUSA300_RS01075	NC_007793.1	241098	243104	+	2007	88	14	15	26	30	38	170	6
SAUSA300_RS01080	NC_007793.1	243402	244175	-	774	0	4	0	4	6	0	0	2
SAUSA300_RS01085	NC_007793.1	244365	244991	-	627	0	10	0	8	20	0	0	0
SAUSA300_RS01090	NC_007793.1	245200	245778	+	579	291	2	16	4	76	16	106	32
SAUSA300_RS01095	NC_007793.1	246161	247258	+	1098	0	0	0	2	0	0	0	0
SAUSA300_RS01100	NC_007793.1	247271	248542	+	1272	26	2	12	0	8	4	62	4
SAUSA300_RS01105	NC_007793.1	248545	249813	+	1269	192	20	72	73	54	30	139	20
SAUSA300_RS01110	NC_007793.1	249815	250654	+	840	120	0	45	23	20	24	184	14
SAUSA300_RS01115	NC_007793.1	250728	251804	+	1077	22	0	14	16	36	20	148	10
SAUSA300_RS01120	NC_007793.1	251829	252869	+	1041	108	20	66	63	54	42	96	12
SAUSA300_RS01125	NC_007793.1	252924	253892	+	969	86	2	30	30	32	22	278	24
SAUSA300_RS01130	NC_007793.1	254254	254748	-	495	0	0	12	0	0	0	1	0
SAUSA300_RS01135	NC_007793.1	254981	256360	+	1380	4	0	72	4	14	12	26	16
SAUSA300_RS01140	NC_007793.1	256719	257477	-	759	0	2	20	2	2	6	18	6
SAUSA300_RS01145	NC_007793.1	257470	259026	-	1557	4	2	0	0	12	0	34	0
SAUSA300_RS01150	NC_007793.1	259023	259991	-	969	0	0	12	0	2	4	8	2
SAUSA300_RS01155	NC_007793.1	260579	262828	+	2250	7201	938	4908	5215	1687	2061	33736	1932
SAUSA300_RS01160	NC_007793.1	262851	263606	+	756	2977	248	2809	1500	379	616	15432	553
SAUSA300_RS01170	NC_007793.1	263942	265705	+	1764	12	0	10	0	6	4	16	2
SAUSA300_RS01175	NC_007793.1	265869	266213	-	345	0	11	0	0	1	0	0	0
SAUSA300_RS01180	NC_007793.1	266403	268232	+	1830	7	8	36	49	1	49	70	14
SAUSA300_RS01185	NC_007793.1	268414	268521	-	108	0	0	4	0	0	3	4	0
SAUSA300_RS01195	NC_007793.1	268835	270019	-	1185	28641	1757	2175	95148	5677	2992	12388	2575
SAUSA300_RS01200	NC_007793.1	270049	272310	-	2262	16638	626	2356	57469	3159	2206	8644	1067
SAUSA300_RS01205	NC_007793.1	272496	273707	-	1212	5430	207	980	13993	1089	908	3110	401
SAUSA300_RS01210	NC_007793.1	273819	275324	-	1506	5057	323	1056	15371	894	1056	7181	427
SAUSA300_RS01215	NC_007793.1	275350	276927	-	1578	7063	766	1085	36674	3422	2621	10837	977
SAUSA300_RS01220	NC_007793.1	277368	278510	+	1143	10	6	18	14	18	0	92	0
SAUSA300_RS01225	NC_007793.1	278824	280299	-	1476	10	0	74	0	7	14	107	1
SAUSA300_RS01230	NC_007793.1	280497	280853	-	357	4	0	3	0	1	0	36	1
SAUSA300_RS01235	NC_007793.1	281010	281183	-	174	2	0	3	7	2	13	3	0
SAUSA300_RS01240	NC_007793.1	281209	282354	-	1146	397	48	531	126	246	96	2075	35
SAUSA300_RS01245	NC_007793.1	282509	282616	+	108	0	0	0	0	0	0	0	1
SAUSA300_RS01250	NC_007793.1	282927	283880	+	954	2917	265	594	3198	1951	674	4514	468
SAUSA300_RS16065	NC_007793.1	284048	284173	-	126	9	0	0	3	7	4	10	5
SAUSA300_RS01260	NC_007793.1	284200	285729	-	1530	217	2	120	141	84	67	137	52
SAUSA300_RS01265	NC_007793.1	286091	287026	+	936	30	8	2	6	2	0	35	20
SAUSA300_RS01270	NC_007793.1	287136	287234	+	99	0	0	0	0	0	0	0	0
SAUSA300_RS01275	NC_007793.1	287365	289461	+	2097	30	10	4	14	28	8	26	2
SAUSA300_RS01280	NC_007793.1	289446	289913	+	468	0	0	0	0	0	0	0	0
SAUSA300_RS01285	NC_007793.1	289936	290214	+	279	2	2	0	0	0	0	4	0
SAUSA300_RS01290	NC_007793.1	290441	291700	+	1260	46	4	4	36	49	10	145	12
SAUSA300_RS01295	NC_007793.1	291718	292773	+	1056	88	14	0	75	70	2	288	4
SAUSA300_RS01300	NC_007793.1	292775	292921	+	147	0	0	0	0	0	0	4	0
SAUSA300_RS01305	NC_007793.1	292945	293988	+	1044	194	71	58	376	404	353	920	70
SAUSA300_RS01310	NC_007793.1	294516	295232	+	717	6	6	24	28	10	2	59	6
SAUSA300_RS01315	NC_007793.1	295225	296250	+	1026	40	4	63	18	22	44	420	18
SAUSA300_RS01320	NC_007793.1	296272	297966	+	1695	45	26	174	38	28	78	488	53
SAUSA300_RS01325	NC_007793.1	298394	299563	+	1170	8	0	62	14	0	30	52	12
SAUSA300_RS01330	NC_007793.1	299839	300555	+	717	20	1	53	16	3	12	56	10
SAUSA300_RS01335	NC_007793.1	300548	301573	+	1026	81	40	135	152	87	75	340	3
SAUSA300_RS01340	NC_007793.1	301595	303283	+	1689	803	365	1043	688	750	957	2961	309
SAUSA300_RS01345	NC_007793.1	303316	305040	+	1725	84	160	448	105	203	251	721	29
SAUSA300_RS01350	NC_007793.1	305180	305854	+	675	4	0	8	0	6	0	10	6
SAUSA300_RS01355	NC_007793.1	306101	307855	+	1755	107	14	66	48	66	26	210	40
SAUSA300_RS01360	NC_007793.1	307858	308598	+	741	0	0	2	4	0	0	8	0
SAUSA300_RS01365	NC_007793.1	308711	309154	+	444	155	15	54	25	75	50	324	52
SAUSA300_RS01370	NC_007793.1	309147	309848	+	702	202	20	86	18	107	52	504	63
SAUSA300_RS01375	NC_007793.1	309956	310660	-	705	6	6	2	36	10	38	114	0
SAUSA300_RS01380	NC_007793.1	310809	311600	+	792	36	0	12	16	0	55	6	4
SAUSA300_RS01385	NC_007793.1	311616	313052	+	1437	266	14	338	116	14	355	1563	18
SAUSA300_RS01395	NC_007793.1	313486	314247	-	762	286	14	139	42	10	88	486	37
SAUSA300_RS01400	NC_007793.1	314266	314400	+	135	4	0	0	5	2	6	15	0
SAUSA300_RS01405	NC_007793.1	314498	315412	-	915	82	4	22	30	37	66	194	2
SAUSA300_RS01410	NC_007793.1	315440	315844	-	405	12	8	18	10	5	31	34	0
SAUSA300_RS01415	NC_007793.1	315859	316740	-	882	166	38	99	200	52	106	422	26
SAUSA300_RS01420	NC_007793.1	316972	317970	-	999	124	0	219	28	7	184	374	8
SAUSA300_RS15040	NC_007793.1	318121	318300	+	180	0	0	3	0	0	0	0	0
SAUSA300_RS01430	NC_007793.1	318350	318742	+	393	0	0	21	0	0	2	0	0
SAUSA300_RS01440	NC_007793.1	319415	320791	-	1377	70	0	32	37	42	29	80	18
SAUSA300_RS01445	NC_007793.1	321025	322017	+	993	49	10	48	161	91	26	84	34
SAUSA300_RS01450	NC_007793.1	322343	323293	+	951	103	10	62	36	77	31	145	13
SAUSA300_RS01455	NC_007793.1	323345	324004	-	660	9	0	0	12	6	0	8	8
SAUSA300_RS01460	NC_007793.1	324018	324938	-	921	13	0	12	2	4	0	3	0
SAUSA300_RS01465	NC_007793.1	324935	326101	-	1167	11	0	4	14	12	0	12	4
SAUSA300_RS01470	NC_007793.1	326169	327692	-	1524	12	0	0	4	12	12	18	0
SAUSA300_RS01475	NC_007793.1	327963	328616	+	654	0	0	0	0	0	0	0	0
SAUSA300_RS01480	NC_007793.1	328650	329237	+	588	2	0	0	0	0	8	0	0
SAUSA300_RS01485	NC_007793.1	329380	330273	-	894	54	4	4	37	10	14	110	12
SAUSA300_RS01490	NC_007793.1	330521	330814	+	294	768	36	28	154	62	34	786	43
SAUSA300_RS01495	NC_007793.1	330898	333927	+	3030	110	21	9	5	1	2	88	20
SAUSA300_RS01500	NC_007793.1	333927	334385	+	459	0	0	1	0	0	0	0	0
SAUSA300_RS01505	NC_007793.1	334357	334599	+	243	2	0	1	0	0	0	1	0
SAUSA300_RS01510	NC_007793.1	334612	335946	+	1335	0	0	0	0	0	2	0	0
SAUSA300_RS01515	NC_007793.1	335968	340407	+	4440	88	36	0	30	38	26	96	2
SAUSA300_RS01520	NC_007793.1	340437	340829	+	393	0	0	0	0	0	0	0	0
SAUSA300_RS01525	NC_007793.1	340845	341159	+	315	2	0	0	0	0	0	0	0
SAUSA300_RS01530	NC_007793.1	341159	341833	+	675	2	6	0	0	2	4	2	2
SAUSA300_RS01535	NC_007793.1	341833	342150	+	318	8	0	0	0	0	1	13	0
SAUSA300_RS01540	NC_007793.1	342160	344004	+	1845	40	8	0	6	4	17	63	0
SAUSA300_RS01545	NC_007793.1	344015	344506	+	492	0	0	0	5	0	0	0	0
SAUSA300_RS01550	NC_007793.1	344714	345397	+	684	0	0	0	15	0	0	6	0
SAUSA300_RS01555	NC_007793.1	345544	346155	+	612	2	0	46	2	2	0	0	0
SAUSA300_RS01560	NC_007793.1	346291	346509	+	219	0	0	0	0	0	0	0	0
SAUSA300_RS01565	NC_007793.1	346641	347141	+	501	0	0	0	0	0	0	0	0
SAUSA300_RS01570	NC_007793.1	347152	347652	+	501	0	0	0	0	0	6	0	0
